Date,Price,Open,High,Low,Vol.,Change %
01-01-2020,143.66,139.87,150.42,137.81,63.96M,3.29%
01-02-2020,139.72,145.1,158.21,135.15,72.45M,-2.74%
01-03-2020,121.64,140.06,150.44,91.68,144.72M,-12.94%
01-04-2020,131.89,116.28,137.19,112.2,89.74M,8.43%
01-05-2020,138.83,128.58,140.58,125.58,75.20M,5.26%
01-06-2020,134.09,138.91,143.4,129.38,90.87M,-3.41%
01-07-2020,146.31,134.54,148.17,133.23,64.09M,9.11%
01-08-2020,150.85,147.12,152.52,140.23,75.70M,3.10%
01-09-2020,147.21,150.75,156.73,138.46,57.89M,-2.41%
01-10-2020,124.59,148.99,150.31,120.17,71.31M,-15.37%
01-11-2020,148.41,125.75,149.71,123.25,58.61M,19.12%
01-12-2020,141.46,149.72,151.61,133.95,78.41M,-4.68%
01-01-2021,123.46,141.46,141.86,121.88,99.48M,-12.72%
01-02-2021,138,126.64,141,125.61,85.16M,11.78%
01-03-2021,140.61,139.88,147.92,135.59,78.06M,1.89%
01-04-2021,152.9,141.63,155.96,140.64,52.41M,8.74%
01-05-2021,148.98,153.72,154.27,144.47,55.47M,-2.56%
01-06-2021,141.67,149.77,150.18,141.56,55.70M,-4.91%
01-07-2021,149.05,141.7,152.2,141.66,43.28M,5.21%
01-08-2021,127.77,150.03,150.74,126.66,99.91M,-14.28%
01-09-2021,121.68,127.89,130.55,120.96,73.29M,-4.77%
01-10-2021,110.74,122.43,126.2,110.29,72.14M,-8.99%
01-11-2021,104.5,110.77,120.96,102.8,104.08M,-5.63%
01-12-2021,109.15,105.78,110.92,101.79,87.97M,4.45%
01-01-2022,119.92,109.35,120.23,106.81,85.39M,9.87%
01-02-2022,95.23,119.74,122.06,90.48,90.71M,-20.59%
01-03-2022,100.42,94.94,102.98,85,88.15M,5.45%
01-04-2022,99.15,100.66,105.28,95.24,71.88M,-1.26%
01-05-2022,104.5,98.71,105.55,91.68,75.38M,5.40%
01-06-2022,91.67,105.73,106.65,89.97,71.95M,-12.28%
01-07-2022,102.16,91.27,102.97,90.33,54.47M,11.44%
01-08-2022,91.37,100.97,105.16,91.32,84.22M,-10.56%
01-09-2022,75.57,91.18,93.9,75.54,114.43M,-17.29%
01-10-2022,82.99,76.14,85.18,72.37,102.55M,9.82%
01-11-2022,72.58,83.93,84.18,56.53,196.52M,-12.54%
01-12-2022,67.85,72.69,75,64.94,143.24M,-6.52%
01-01-2023,75.04,68.72,75.42,67.8,107.65M,10.60%
01-02-2023,63.37,74.92,79.32,63.27,122.26M,-15.55%
01-03-2023,54.33,63.67,64.8,48.57,182.30M,-14.27%
01-04-2023,58.72,54.5,59.31,52.51,98.59M,8.08%
01-05-2023,54.57,57.97,58.59,51.92,100.35M,-7.07%
01-06-2023,54.7,54.86,56.21,52.03,115.40M,0.24%
01-07-2023,60.38,58,62.39,56.61,109.04M,10.38%
01-08-2023,55.86,60.4,62.58,53.84,79.14M,-7.49%
01-09-2023,55.27,56.55,59.53,54.31,98.18M,-1.06%
01-10-2023,49.11,55.32,55.46,46.91,103.44M,-11.15%
01-11-2023,58.64,49.52,59.07,48.46,121.36M,19.41%
01-12-2023,60.07,58.64,61.89,57.13,119.85M,2.44%
01-01-2024,62.26,59.81,63.86,58.24,118.61M,3.65%
01-02-2024,69.19,62.51,69.55,60.39,84.34M,11.13%
01-03-2024,74.18,69.25,74.75,67.51,86.57M,7.21%
01-04-2024,67.92,73.84,74.18,67.86,77.05M,-8.44%
01-05-2024,75.88,67.95,78.73,66.71,99.12M,11.72%
01-06-2024,75.36,75.92,77.83,73.79,85.33M,-0.69%
01-07-2024,76.83,75.43,77.99,72.92,54.54M,1.95%
01-08-2024,82.45,77.13,82.48,72.01,65.36M,7.31%
01-09-2024,83.75,82,85.63,81.05,58.64M,1.58%
01-10-2024,89.73,83.75,91.54,82.77,57.98M,7.14%
01-11-2024,85.3,89.45,91.98,83.95,79.49M,-4.94%
01-12-2024,80.77,85.52,85.86,79.59,63.88M,-5.31%
01-01-2025,81.47,81.13,82.45,76.82,45.53M,0.87%
01-02-2025,71.12,80.18,83.97,67.55,92.04M,-12.70%
01-03-2025,74.68,71.41,75.38,66.51,78.41M,5.01%
01-04-2025,78.88,74.6,81.7,66.7,103.85M,5.62%
01-05-2025,79.61,78.11,81.31,74.7,79.27M,0.93%
01-06-2025,81.41,78.72,82.36,77.92,60.30M,2.26%
01-07-2025,79.41,81.25,82.74,78.13,49.76M,-2.46%
01-08-2025,69.81,79.35,79.45,68.81,88.02M,-12.09%
