Date,Price,Open,High,Low,Change %
01-01-2020,"2,018.00","1,945.20","2,057.90","1,922.80",4.24%
02-01-2020,"1,876.10","2,027.40","2,135.20","1,828.80",-7.03%
03-01-2020,"1,516.20","1,886.60","1,966.40","1,254.70",-19.18%
04-01-2020,"1,740.10","1,450.60","1,788.20","1,408.50",14.77%
05-01-2020,"1,858.00","1,707.10","1,874.10","1,632.80",6.77%
06-01-2020,"1,912.10","1,860.10","2,015.70","1,818.80",2.91%
07-01-2020,"1,993.50","1,915.30","2,025.40","1,873.00",4.26%
08-01-2020,"2,052.40","2,003.00","2,072.40","1,987.60",2.95%
09-01-2020,"1,966.20","2,050.90","2,103.80","1,885.00",-4.20%
10-01-2020,"1,933.60","1,979.30","2,098.80","1,917.20",-1.66%
11-01-2020,"2,250.90","1,954.80","2,267.10","1,950.10",16.41%
12-01-2020,"2,422.90","2,275.60","2,424.60","2,262.60",7.64%
01-01-2021,"2,298.60","2,434.00","2,487.30","2,290.30",-5.13%
02-01-2021,"2,412.80","2,321.70","2,505.10","2,321.70",4.97%
03-01-2021,"2,546.30","2,446.60","2,609.50","2,373.80",5.53%
04-01-2021,"2,667.00","2,564.40","2,708.40","2,563.70",4.74%
05-01-2021,"2,627.70","2,681.40","2,685.80","2,509.70",-1.48%
06-01-2021,"2,673.50","2,642.80","2,723.80","2,617.80",1.74%
07-01-2021,"2,734.50","2,679.90","2,765.60","2,592.10",2.28%
08-01-2021,"2,754.10","2,752.70","2,762.20","2,640.80",0.72%
09-01-2021,"2,666.40","2,760.70","2,778.90","2,640.00",-3.18%
10-01-2021,"2,734.90","2,680.00","2,820.50","2,639.40",2.57%
11-01-2021,"2,530.10","2,744.50","2,767.40","2,522.90",-7.49%
12-01-2021,"2,654.00","2,568.30","2,688.10","2,481.50",4.90%
01-01-2022,"2,447.30","2,666.50","2,680.30","2,264.70",-7.79%
02-01-2022,"2,341.30","2,454.70","2,507.30","2,183.70",-4.33%
03-01-2022,"2,381.00","2,340.10","2,464.70","2,149.70",1.70%
04-01-2022,"2,097.30","2,380.60","2,409.90","2,093.60",-11.91%
05-01-2022,"2,054.90","2,094.30","2,170.70","1,821.00",-2.02%
06-01-2022,"1,829.90","2,058.30","2,073.30","1,759.00",-10.95%
07-01-2022,"2,047.60","1,831.40","2,062.80","1,812.60",11.90%
08-01-2022,"1,962.30","2,030.60","2,231.30","1,961.30",-4.17%
09-01-2022,"1,756.90","1,944.80","2,087.40","1,753.60",-10.46%
10-01-2022,"1,897.40","1,772.90","1,919.40","1,696.30",7.99%
11-01-2022,"1,929.50","1,929.80","1,960.50","1,753.10",1.69%
12-01-2022,"1,806.30","1,935.10","1,953.30","1,746.80",-6.39%
01-01-2023,"2,071.60","1,828.40","2,072.00","1,796.90",14.69%
02-01-2023,"1,997.90","2,067.10","2,227.30","1,974.60",-3.56%
03-01-2023,"1,924.40","1,996.10","2,031.10","1,761.40",-3.68%
04-01-2023,"1,928.20","1,917.90","1,950.80","1,852.10",0.19%
05-01-2023,"1,951.80","1,926.80","1,990.10","1,843.30",1.23%
06-01-2023,"2,091.20","1,952.60","2,105.40","1,944.20",7.14%
07-01-2023,"2,214.40","2,088.90","2,270.60","2,047.20",5.89%
08-01-2023,"2,127.60","2,201.60","2,211.50","2,025.60",-3.92%
09-01-2023,"1,997.90","2,141.00","2,152.50","1,965.30",-6.10%
10-01-2023,"1,859.80","1,995.70","2,035.90","1,818.80",-6.91%
11-01-2023,"2,125.90","1,862.20","2,141.30","1,846.50",14.31%
12-01-2023,"2,394.30","2,121.10","2,428.30","2,119.70",12.62%
01-01-2024,"2,332.00","2,376.90","2,402.30","2,272.70",-2.60%
02-01-2024,"2,479.10","2,341.40","2,497.40","2,312.30",6.31%
03-01-2024,"2,587.60","2,478.10","2,595.60","2,439.10",4.37%
04-01-2024,"2,428.60","2,589.50","2,590.20","2,402.30",-6.14%
05-01-2024,"2,468.90","2,429.60","2,575.60","2,423.10",1.66%
06-01-2024,"2,489.30","2,481.50","2,524.40","2,418.30",0.83%
07-01-2024,"2,628.30","2,496.50","2,670.20","2,469.50",5.59%
08-01-2024,"2,765.50","2,642.30","2,772.30","2,423.30",5.22%
09-01-2024,"2,810.80","2,748.60","2,838.40","2,640.40",1.64%
10-01-2024,"2,934.20","2,812.30","2,986.50","2,773.10",4.39%
11-01-2024,"3,474.50","2,938.90","3,491.60","2,918.60",18.41%
12-01-2024,"3,203.90","3,478.90","3,483.10","3,175.60",-7.79%
01-01-2025,"3,361.90","3,227.20","3,415.60","3,065.90",4.93%
02-01-2025,"3,227.40","3,293.40","3,406.40","3,132.70",-4.00%
03-01-2025,"3,000.20","3,249.90","3,258.40","2,885.60",-7.04%
04-01-2025,"2,984.20","2,992.10","3,074.20","2,536.40",-0.53%
05-01-2025,"3,188.90","2,998.60","3,238.70","2,971.90",6.86%
06-01-2025,"3,415.40","3,177.00","3,418.60","3,136.00",7.10%
07-01-2025,"3,478.80","3,398.80","3,554.60","3,388.40",1.86%
08-01-2025,"3,538.90","3,414.00","3,570.90","3,362.60",1.73%
