"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","23,415.42","22,941.06","23,969.28","22,673.88","7.24B","0.85%"
"07/01/2025","23,218.12","22,594.48","23,589.37","22,388.09","7.33B","2.38%"
"06/01/2025","22,679.01","21,270.57","22,721.50","21,199.37","7.56B","6.27%"
"05/01/2025","21,340.99","19,866.83","21,611.54","19,605.07","7.51B","9.04%"
"04/01/2025","19,571.02","19,192.77","19,707.34","16,542.20","9.96B","1.52%"
"03/01/2025","19,278.45","20,989.58","21,073.80","18,799.20","8.85B","-7.69%"
"02/01/2025","20,884.41","21,084.64","22,222.61","20,407.45","6.91B","-2.76%"
"01/01/2025","21,478.05","21,120.05","21,945.48","20,538.33","7.03B","2.22%"
"12/01/2024","21,012.17","20,971.76","22,133.22","20,913.72","7.33B","0.39%"
"11/01/2024","20,930.37","19,955.83","21,182.03","19,898.57","6.51B","5.23%"
"10/01/2024","19,890.41","20,046.06","20,600.10","19,622.29","6.38B","-0.85%"
"09/01/2024","20,060.69","19,438.11","20,273.30","18,400.97","6.89B","2.48%"
"08/01/2024","19,574.64","19,375.97","19,938.89","17,435.39","7.25B","1.10%"
"07/01/2024","19,362.43","19,720.11","20,690.97","18,667.22","6.79B","-1.63%"
"06/01/2024","19,682.87","18,666.72","20,017.72","18,392.57","6.70B","6.18%"
"05/01/2024","18,536.65","17,382.78","18,907.54","17,284.37","5.57B","6.28%"
"04/01/2024","17,440.69","18,280.82","18,391.58","16,973.94","5.68B","-4.46%"
"03/01/2024","18,254.69","18,069.29","18,464.70","17,764.99","5.78B","1.17%"
"02/01/2024","18,043.85","17,216.99","18,091.62","17,175.83","5.26B","5.29%"
"01/01/2024","17,137.24","16,667.30","17,665.26","16,249.19","5.28B","1.85%"
"12/01/2023","16,825.93","15,892.59","16,969.17","15,695.58","5.49B","5.51%"
"11/01/2023","15,947.87","14,453.68","16,166.51","14,441.90","5.31B","10.67%"
